,,TICKET,LOGIN,SYMBOL,DIGITS,CMD,VOLUME,OPEN_TIME,OPEN_PRICE,SL,TP,CLOSE_TIME,REASON,CONV_RATE,CONV_RATE2,COMMISSION,COMMISSION_AGENT,SWAPS,CLOSE_PRICE,PROFIT,TAXES,COMMENT,INTERNAL_ID,MARGIN_RATE,TIMESTAMP,MAGIC,GW_VOLUME,GW_OPEN_PRICE,MODIFY_TIME
33070,51023,,0,6,1,2006-06-02 21:00:21,0.0,0.0,0.0,2006-06-02 21:00:21,1970-01-01 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,PayPal Dep - AL,0,0.0,1149282021,0,0,0,0,2022-11-28 17:58:58
33308,51023,GBPUSD,4,1,10,2006-06-05 15:39:04,1.8805,1.8804,0.0,2006-06-05 15:43:32,1970-01-01 00:00:00,0,1.8805,1.8804,0.0,0.0,0.0,1.8804,1.0,0.0,,100,1.8805,1149521944,0,10,0,0,2022-11-28 17:58:58
33316,51023,GBPUSD,4,1,20,2006-06-05 15:53:46,1.8799,0.0,1.8759,2006-06-05 16:00:05,1970-01-01 00:00:00,0,1.8799,1.8793,0.0,0.0,0.0,1.8793,12.0,0.0,,100,1.8799,1149522826,0,20,0,0,2022-11-28 17:58:58
33321,51023,EURUSD,4,0,10,2006-06-05 16:13:20,1.2929,0.0,0.0,2006-06-05 16:16:23,1970-01-01 00:00:00,0,1.2929,1.2931,0.0,0.0,0.0,1.2931,2.0,0.0,,100,1.2929,1149524000,0,10,0,0,2022-11-28 17:58:58
33336,51023,GBPUSD,4,1,20,2006-06-05 17:00:27,1.8779,1.8889,1.8759,2006-06-05 17:39:16,1970-01-01 00:00:00,0,1.8779,1.8774,0.0,0.0,0.0,1.8774,10.0,0.0,,100,1.8779,1149526827,0,20,0,0,2022-11-28 17:58:58
33387,51023,GBPUSD,4,1,20,2006-06-05 20:06:15,1.8791,1.8895,0.0,2006-06-05 21:34:39,1970-01-01 00:00:00,0,1.8791,1.8772,0.0,0.0,0.0,1.8772,38.0,0.0,,100,1.8791,1149537975,0,20,0,0,2022-11-28 17:58:58
33593,51023,GBPUSD,4,1,20,2006-06-06 09:58:05,1.876,0.0,0.0,2006-06-06 10:34:16,1970-01-01 00:00:00,0,1.876,1.8757,0.0,0.0,0.0,1.8757,6.0,0.0,,100,1.876,1149587885,0,20,0,0,2022-11-28 17:58:58
33645,51023,GBPUSD,4,0,20,2006-06-06 12:36:32,1.8718,0.0,1.8709,2006-06-08 10:16:50,1970-01-01 00:00:00,0,1.8718,1.8518,0.0,0.0,-5.35,1.8518,-400.0,0.0,,100,1.8718,1149597392,0,20,0,0,2022-11-28 17:58:58
33664,51023,GBPUSD,4,0,20,2006-06-06 13:17:49,1.8704,0.0,1.8709,2006-06-08 10:16:51,1970-01-01 00:00:00,0,1.8704,1.8518,0.0,0.0,-5.35,1.8518,-372.0,0.0,,100,1.8704,1149599869,0,20,0,0,2022-11-28 17:58:58
33789,51023,GBPUSD,4,1,40,2006-06-06 18:04:50,1.8593,0.0,0.0,2006-06-06 18:11:07,1970-01-01 00:00:00,0,1.8593,1.8604,0.0,0.0,0.0,1.8604,-44.0,0.0,,100,1.8593,1149617090,0,40,0,0,2022-11-28 17:58:58
